"from","to","weight"
160,596,0.87
160,567,0.83
160,480,0.83
160,599,0.79
160,595,0.76
161,764,0.94
161,570,0.76
162,598,0.83
162,597,0.76
163,574,0.9
163,567,0.79
163,511,0.83
163,509,0.76
163,599,0.76
164,597,0.82
164,598,0.76
165,583,0.79
165,509,0.83
165,599,0.76
165,511,0.76
166,509,0.83
166,599,0.76
166,511,0.76
166,616,0.79
167,564,0.9
167,509,0.94
167,599,0.76
167,511,0.76
168,509,0.83
168,599,0.76
168,616,0.79
168,511,0.76
169,509,0.89
169,511,0.82
169,515,0.79
169,599,0.76
169,447,0.79
170,574,0.83
170,576,0.83
170,515,0.83
170,600,0.76
171,574,0.83
171,576,0.83
171,515,0.83
171,600,0.76
172,603,0.83
172,602,0.76
173,602,0.94
173,603,0.76
174,605,0.76
175,610,0.83
175,583,0.76
176,606,0.76
177,879,1
177,608,0.76
178,609,1
178,543,0.76
179,614,1
179,611,0.79
180,458,0.79
181,479,0.96
181,613,0.79
182,835,1
182,469,0.79
183,611,1
183,614,0.79
184,451,0.86
184,595,0.86
184,610,0.79
184,476,0.79
185,481,1
185,615,0.79
186,615,0.82
186,481,0.79
187,619,1
187,485,0.79
188,618,0.79
189,527,0.79
190,546,0.89
190,602,0.79
191,834,1
191,540,0.79
192,620,0.82
193,622,0.82
194,613,1
194,479,0.82
195,623,0.82
196,624,0.82
197,575,0.83
197,625,0.82
198,526,0.82
199,722,0.93
199,626,0.83
200,440,0.83
201,627,0.83
202,634,0.93
202,630,0.83
203,631,0.83
204,633,0.83
205,630,0.93
205,634,0.83
206,635,0.83
207,637,0.83
208,638,0.83
209,639,0.83
210,640,0.83
211,641,0.83
212,642,0.83
213,646,0.83
214,477,0.83
215,648,0.83
216,650,0.83
217,651,0.83
218,565,0.83
219,652,0.83
220,653,0.83
221,486,0.83
222,654,0.83
223,501,0.83
224,656,0.83
225,657,0.83
226,658,0.83
227,659,1
227,505,0.83
228,661,0.89
228,660,0.83
229,660,0.94
229,661,0.83
230,512,0.83
231,662,0.83
232,528,0.83
232,663,0.83
233,663,0.89
233,528,0.83
234,664,0.83
235,665,0.83
236,666,0.83
237,667,0.83
238,668,0.86
239,670,0.86
240,671,0.87
241,672,0.87
242,673,0.87
243,674,0.87
244,675,0.87
245,606,0.87
246,676,0.89
247,628,0.89
248,677,0.89
249,678,0.89
250,679,0.89
251,680,0.89
252,681,0.89
253,682,0.89
254,683,0.89
255,685,0.89
256,686,0.89
257,689,0.89
258,690,0.89
259,691,0.89
260,693,0.89
261,694,0.89
262,695,0.89
263,561,0.89
264,696,0.89
265,699,0.89
266,700,0.89
267,701,0.89
268,702,0.89
269,703,0.89
270,704,0.89
271,705,0.89
272,706,0.89
273,707,0.89
274,724,0.9
274,708,0.89
275,711,0.89
276,712,0.89
277,524,0.89
278,713,0.89
279,714,0.89
280,715,0.89
281,717,0.89
282,718,0.89
283,719,0.89
284,538,0.89
285,721,0.9
286,626,1
286,722,0.9
287,725,1
287,723,0.9
288,811,1
288,486,0.9
289,723,1
289,725,0.9
290,798,1
290,603,0.9
291,726,0.93
292,727,0.93
293,728,0.93
294,729,0.93
295,730,0.93
296,732,0.93
297,733,0.93
298,734,0.93
299,735,0.93
300,508,0.93
301,736,0.93
302,737,0.93
303,738,0.93
304,739,0.93
305,530,0.93
306,741,0.93
307,742,0.93
308,439,0.94
309,720,0.94
310,743,0.94
311,745,0.94
312,746,0.94
313,747,0.94
314,749,0.94
315,549,0.94
316,750,0.94
317,453,0.94
318,459,0.94
319,553,0.94
320,751,0.94
321,752,0.94
322,464,0.94
323,753,0.94
324,467,0.94
325,469,0.94
326,754,0.94
327,755,0.94
328,757,0.94
329,758,0.94
330,759,0.94
331,760,0.94
332,761,0.94
333,762,0.94
334,763,0.94
335,765,0.94
336,766,0.94
337,767,0.94
338,768,0.94
339,518,0.94
340,770,0.94
341,771,0.94
342,773,0.94
343,775,0.94
344,776,0.94
345,777,0.96
346,443,0.96
347,779,0.96
348,780,0.96
349,781,0.96
350,782,0.96
351,783,0.96
352,784,0.96
353,785,0.96
354,786,0.96
355,787,0.96
356,788,0.96
357,789,0.96
358,724,0.96
359,790,0.96
360,791,0.96
361,792,0.96
362,793,0.96
363,794,1
364,795,1
365,796,1
366,797,1
367,799,1
368,800,1
369,442,1
370,801,1
371,802,1
372,803,1
373,804,1
374,805,1
375,806,1
376,807,1
377,808,1
378,809,1
379,810,1
380,812,1
381,813,1
382,814,1
383,817,1
384,818,1
385,819,1
386,822,1
387,823,1
388,824,1
389,825,1
390,827,1
391,828,1
392,669,1
393,829,1
394,830,1
395,831,1
396,832,1
